recipe_name,recipe_data
Apple Almond Breakfast Parfait,"{'ingredients': ['Apple', 'Almonds', 'Milk', 'Sugar', 'Chia Seeds'], 'quantities': ['200g', '100g', '250ml', '30g', '15g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'optional']}"
Apple Cinnamon Oatmeal,"{'ingredients': ['Apple', 'Sugar', 'Vanilla Extract', 'Chia Seeds'], 'quantities': ['200g', '30g', '10ml', '15g'], 'importance_levels': ['core', 'secondary', 'secondary', 'optional']}"
Avocado and Shrimp Rice Bowl,"{'ingredients': ['Shrimp', 'Avocado', 'Rice', 'Bell Pepper', 'Vinegar', 'Mint'], 'quantities': ['250g', '200g', '150g', '100g', '20ml', '10g'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary', 'optional']}"
Banana Honey Smoothie,"{'ingredients': ['Banana', 'Greek Yogurt', 'Honey', 'Olive Oil'], 'quantities': ['200g', '150ml', '30ml', '10ml'], 'importance_levels': ['core', 'core', 'secondary', 'optional']}"
Beef and Vegetable Pasta,"{'ingredients': ['Beef', 'Pasta', 'Bell Pepper', 'Zucchini', 'Mustard'], 'quantities': ['400g', '250g', '150g', '100g', '20g'], 'importance_levels': ['core', 'core', 'secondary', 'secondary', 'optional']}"
Classic Egg Toast,"{'ingredients': ['Bread', 'Egg', 'Olive Oil', 'Garlic'], 'quantities': ['2', '2', '10ml', '2'], 'importance_levels': ['core', 'core', 'secondary', 'optional']}"
Coconut Chicken Curry,"{'ingredients': ['Chicken Breast', 'Ginger', 'Coconut Milk', 'Curry Powder', 'Garlic', 'Olive Oil'], 'quantities': ['500g', '20g', '400ml', '30g', '10g', '30ml'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'secondary', 'secondary']}"
Coconut Seitan Vegetable Curry,"{'ingredients': ['Tofu', 'Coconut Milk', 'Zucchini', 'Peanut', 'Mint', 'Olive Oil'], 'quantities': ['350g', '300ml', '200g', '30g', '10g', '25ml'], 'importance_levels': ['core', 'core', 'core', 'secondary', 'optional', 'secondary']}"
Lemon Dill Salmon,"{'ingredients': ['Salmon', 'Lemon', 'Dill', 'Olive Oil'], 'quantities': ['600g', '30ml', '10g', '20ml'], 'importance_levels': ['core', 'secondary', 'secondary', 'core']}"
Loaded Vegetable Potato Skins,"{'ingredients': ['Potato', 'Cheese', 'Bell Pepper', 'Spinach', 'Peanut'], 'quantities': ['500g', '150g', '100g', '100g', '50g'], 'importance_levels': ['core', 'core', 'secondary', 'secondary', 'optional']}"
Mediterranean Beef and Quinoa Pasta,"{'ingredients': ['Beef', 'Pasta', 'Eggplant', 'Quinoa', 'Mint', 'Mustard'], 'quantities': ['400g', '250g', '150g', '100g', '10g', '20g'], 'importance_levels': ['core', 'core', 'secondary', 'secondary', 'optional', 'secondary']}"
Mediterranean Feta and Vegetable Feast,"{'ingredients': ['Cheese', 'Cucumber', 'Spinach', 'Olive Oil', 'Vinegar', 'Cilantro'], 'quantities': ['250g', '200g', '150g', '30ml', '20ml', '10g'], 'importance_levels': ['core', 'core', 'secondary', 'core', 'secondary', 'optional']}"
Mediterranean Halloumi and Roasted Vegetable Salad,"{'ingredients': ['Cheese', 'Orange', 'Cucumber', 'Red Onion', 'Olive Oil', 'Vinegar'], 'quantities': ['250g', '150g', '100g', '50g', '30ml', '20ml'], 'importance_levels': ['core', 'secondary', 'core', 'secondary', 'core', 'secondary']}"
